Jenis;Kesulitan;Pertanyaan;Jawaban Benar;Jawaban Salah 1;Jawaban Salah 2;Jawaban Salah 3;Isian-able
Grammar N4;N;高木くんは　この仕事が　気に入らなかった _______ だけど、僕は　とっても楽しかったです。;みたい;のみたい;にみたい;なみたい;F
Grammar N4;N;私は　どうしても　いかなければ＿＿＿。;なりません;もどりません;いきません;いいです;T
Grammar N4;N;私の誕生日に　母が　新しいパソコンを　買って＿＿。;くれました;あげました;あげられました;みました;F
Grammar N4;N;このパンは　米＿　作りました。;で;の;や;に;T
Grammar N4;N;日本語は　＿＿＿できますか。;どのぐらい;どこまで;いくら;はなす;F
Grammar N4;N;その本は　＿＿＿すぎて、かばんに　入らない。;大き;大きい;大きくて;大きなさ;F
Grammar N4;N;ゲームは　宿題を　＿＿＿あとです。;した;する;していた;している;T
Grammar N4;N;あの人は　病気ではない＿＿＿　薬を　たくさん飲んでいます。;のに;ために;から;だけ;F
Grammar N4;N;その携帯電話は　高いです。＿＿＿ほうが　いいです。;買わない;買わした;買わなかった;買わる;F
Grammar N4;N;これは　いい本ですね。すごく＿＿＿。;わかりやすい;わかってかんたん;わかってくれる;わかりはやい;F
Grammar N4;N;昨日、ひっこしを　＿＿＿、ありがとうとざいました。;手伝ってくれて;手伝った;手伝わせてしまえ;手伝ったから;F
Grammar N4;N;雨が　_______かもしれないから、かさを　持って行きましょう。;ふる;ふった;ふって;ふり;F
Grammar N4;H;日本には　美しい都市が　多い。___　京都、奈良です。;たとえば;それで;だから;あるいは;F
Grammar N4;H;このバスは　郵便局の前＿　通りますか？;を;で;へ;に;F
Grammar N4;H;田中さんは　どらやき＿＿＿ものを食べました。;のような;のように;のよう;のようの;F
Kanji N5;N;次の電車を　（ま）ってください。;待;持;時;特;T
Kanji N5;N;姉は　１６さいで　高(こう)生です。;校;交;佼;較;T
Kanji N5;N;このパソコンは　先のより　（やす）い。;安;案;要;妥;T
Kanji N5;N;りんごを　ナイフで　（き）った。;切;着;聞;刈;F
Kanji N5;N;この本は　イラストが多くて、（よ）みやすいです。;読;呼;夜;住;T
Kanji N5;N;リーさんは　日本語が　上手です。いろいろな　難しい（こと）葉を　知っています。;言;事;方;書;T
Kanji N5;VH;夕方、雨がふりました。;ゆうがた;ゆうほう;たかた;たほう;T
Kanji N5;VH;彼の外見に　だまされた。;がいけん;そとみ;そとけん;がいみ;T
Kanji N5;N;りんごは　九つあります。;ここのつ;くつ;よっつ;ななつ;T
Kanji N5;VH;三十万五千円になります。;305 000;13 500;350 000;35 000;T
Kanji N5;N;かきごおりは　＿＿＿です。;つめたい;さむい;ひやい;やさしい;F
Kanji N5;N;学校では　制服を＿＿＿。;着ます;来ます;木ます;気ます;F
Kanji N5;VH;国内旅行の　方が　いいと　おもいます。;こくない;こくち;くにちゅう;じち;T
Kanji N5;N;夜だから　人が　少ない。;すくない;ちいさいない;おさない;おおくない;T
Kanji N5;VH;毎朝　新聞を　よみます。;しんぶん;しぶん;しんかん;しかん;T
Kanji N5;VH;これを　半分　わけましょう。;はんぶん;はちぶん;はふん;はちふん;T
Kanji N5;VH;私は　今年から　PT Fesbukanで　はたらきます。;ことし;きょねん;いまどき;いまどし;T
Kanji N5;VH;今日は　木曜日。それじゃ、昨日は＿＿＿。;水曜日;金曜日;火曜日;土曜日;T
Kanji N5;N;月曜日に　数学は　一時間（め）です。;目;百;日;見;T
Kanji N5;N;出口から　入ることは　ダメです。;はいる;ひとる;じんる;まいる;T
Kanji N5;VH;広場で　写真を　とりました。;ひろば;こうじょう;こうえん;ひじょう;T
Kanji N5;VH;（でんしゃ）が走ります。;電車;雷車;雨車;雲車;T
Kanji N5;N;駅の前に　一時間（はん）待ちました。;半;来;午;千;T
Kanji N5;N;ライハンさんは　（おとこ）なのに　料理を作ることが　上手です。;男;勇;助;果;T
Kanji N5;N;ゲームは　（あと）にしなさい。;後;終;結;行;T
Kanji N5;N;すみません、　声が　（きこえない）。;聞こえない;闇こえない;間こえない;問こえない;T
Kanji N5;H;右にまがると　出口が　あります。;ぐち;くち;こう;ごう;T
Kanji N5;N;北海道は　本州の　北に　ある。;きた;にし;ひがし;みなみ;T
Kanji N5;N;駅は　銀行の西の方に　ある。;にし;きた;ひがし;みなみ;T
Kanji N5;N;さとうの量が　足りません。;たりません;なりません;あしりません;いりません;T
Kanji N5;N;私は　インドネシアで　生まれました。;うまれました;いかまれました;せいまれました;なまれました;T
Kanji N5;H;あそこに　犬が　肉を　食っています。;くっています;たべています;くらっています;たもっています;T
Kanji N5;H;学生たちが　クラスの前に　将来の夢を　語る。;かたる;はなしあげる;のべる;こごる;T
Kanji N5;H;文化祭は　5月6日に　行います。;おこないます;いきます;そないます;はらいます;T
Kanji N5;H;あしたから　（あらたな）生活が　始まります。;新たな;後たな;先たな;書たな;T
